k1_start	k2_start
481	510
24	53
410	430
411	431
252	270
413	443
537	567
488	495
508	527
528	548
463	494
421	439
461	468
367	396
298	329
267	287
365	395
129	148
493	524
160	190
240	259
355	384
8	28
374	403
571	591
61	81
188	208
315	335
203	221
279	297
448	466
96	115
147	165
60	91
153	160
6	37
324	354
175	195
314	332
116	123
68	97
295	325
286	305
178	198
125	144
104	134
111	129
442	460
108	128
152	170
398	418
196	215
324	353
384	402
254	272
302	331
12	43
345	365
179	197
94	124
360	389
113	143
559	578
113	133
284	315
229	258
532	563
555	575
357	376
286	306
479	508
519	537
121	150
336	354
195	226
